year,round,event,circuit,driver_code,driver_number,driver_age,constructor,grid_position,finish_position,position_gain,points_constructor
2021,1,Dutch Grand Prix,Dutch Grand Prix,4,4,26,McLaren,10,10,0,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,22,22,25,AlphaTauri,16,19,-3,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,5,5,26,Aston Martin,12,13,-1,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,88,88,30,Alfa Romeo Racing,11,15,-4,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,47,47,24,Haas F1 Team,15,18,-3,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,9,9,33,Haas F1 Team,17,20,-3,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,6,6,31,Williams,12,16,-4,100.0
2021,1,Dutch Grand Prix,Dutch Grand Prix,11,11,36,Red Bull Racing,10,8,2,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,33,33,33,Red Bull Racing,20,18,2,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,3,3,33,McLaren,1,1,0,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,4,4,33,McLaren,2,2,0,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,44,44,25,Mercedes,18,17,1,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,16,16,26,Ferrari,5,4,1,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,55,55,32,Ferrari,7,6,1,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,99,99,30,Alfa Romeo Racing,9,13,-4,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,11,11,27,Red Bull Racing,7,5,2,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,18,18,33,Aston Martin,6,7,-1,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,14,14,28,Alpine,6,8,-2,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,5,5,25,Aston Martin,11,12,-1,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,31,31,36,Alpine,8,10,-2,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,6,6,34,Williams,7,11,-4,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,63,63,36,Williams,5,9,-4,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,22,22,31,AlphaTauri,17,20,-3,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,9,9,27,Haas F1 Team,13,16,-3,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,88,88,32,Alfa Romeo Racing,10,14,-4,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,47,47,28,Haas F1 Team,12,15,-3,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,77,77,36,Mercedes,4,3,1,100.0
2021,1,Italian Grand Prix,Italian Grand Prix,10,10,32,AlphaTauri,16,19,-3,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,4,4,27,McLaren,7,7,0,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,55,55,33,Ferrari,4,3,1,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,63,63,28,Williams,6,10,-4,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,44,44,32,Mercedes,2,1,1,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,3,3,31,McLaren,4,4,0,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,14,14,26,Alpine,4,6,-2,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,18,18,24,Aston Martin,10,11,-1,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,11,11,26,Red Bull Racing,11,9,2,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,31,31,27,Alpine,12,14,-2,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,5,5,25,Aston Martin,11,12,-1,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,10,10,24,AlphaTauri,10,13,-3,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,22,22,30,AlphaTauri,14,17,-3,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,7,7,31,Alfa Romeo Racing,4,8,-4,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,47,47,30,Haas F1 Team,17,20,-3,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,9,9,28,Haas F1 Team,15,18,-3,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,77,77,35,Mercedes,6,5,1,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,99,99,24,Alfa Romeo Racing,12,16,-4,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,6,6,30,Williams,15,19,-4,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,16,16,36,Ferrari,16,15,1,100.0
2021,1,Russian Grand Prix,Russian Grand Prix,33,33,30,Red Bull Racing,4,2,2,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,77,77,32,Mercedes,2,1,1,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,33,33,26,Red Bull Racing,4,2,2,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,16,16,32,Ferrari,5,4,1,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,10,10,24,AlphaTauri,3,6,-3,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,14,14,24,Alpine,14,16,-2,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,11,11,27,Red Bull Racing,5,3,2,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,4,4,32,McLaren,7,7,0,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,18,18,29,Aston Martin,8,9,-1,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,22,22,36,AlphaTauri,11,14,-3,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,5,5,34,Aston Martin,17,18,-1,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,44,44,26,Mercedes,6,5,1,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,31,31,24,Alpine,8,10,-2,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,63,63,27,Williams,11,15,-4,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,47,47,35,Haas F1 Team,16,19,-3,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,6,6,36,Williams,13,17,-4,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,99,99,32,Alfa Romeo Racing,7,11,-4,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,7,7,26,Alfa Romeo Racing,8,12,-4,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,9,9,35,Haas F1 Team,17,20,-3,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,55,55,32,Ferrari,9,8,1,100.0
2021,1,Turkish Grand Prix,Turkish Grand Prix,3,3,30,McLaren,13,13,0,100.0
2021,1,United States Grand Prix,United States Grand Prix,33,33,35,Red Bull Racing,3,1,2,100.0
2021,1,United States Grand Prix,United States Grand Prix,44,44,27,Mercedes,3,2,1,100.0
2021,1,United States Grand Prix,United States Grand Prix,11,11,26,Red Bull Racing,5,3,2,100.0
2021,1,United States Grand Prix,United States Grand Prix,16,16,33,Ferrari,5,4,1,100.0
2021,1,United States Grand Prix,United States Grand Prix,55,55,28,Ferrari,8,7,1,100.0
2021,1,United States Grand Prix,United States Grand Prix,3,3,28,McLaren,5,5,0,100.0
2021,1,United States Grand Prix,United States Grand Prix,4,4,26,McLaren,8,8,0,100.0
2021,1,United States Grand Prix,United States Grand Prix,10,10,35,AlphaTauri,17,20,-3,100.0
2021,1,United States Grand Prix,United States Grand Prix,77,77,32,Mercedes,7,6,1,100.0
2021,1,United States Grand Prix,United States Grand Prix,22,22,27,AlphaTauri,6,9,-3,100.0
2021,1,United States Grand Prix,United States Grand Prix,31,31,34,Alpine,17,19,-2,100.0
2021,1,United States Grand Prix,United States Grand Prix,99,99,28,Alfa Romeo Racing,7,11,-4,100.0
2021,1,United States Grand Prix,United States Grand Prix,18,18,27,Aston Martin,11,12,-1,100.0
2021,1,United States Grand Prix,United States Grand Prix,6,6,28,Williams,11,15,-4,100.0
2021,1,United States Grand Prix,United States Grand Prix,7,7,30,Alfa Romeo Racing,9,13,-4,100.0
2021,1,United States Grand Prix,United States Grand Prix,47,47,32,Haas F1 Team,13,16,-3,100.0
2021,1,United States Grand Prix,United States Grand Prix,9,9,30,Haas F1 Team,14,17,-3,100.0
2021,1,United States Grand Prix,United States Grand Prix,5,5,36,Aston Martin,9,10,-1,100.0
2021,1,United States Grand Prix,United States Grand Prix,14,14,28,Alpine,16,18,-2,100.0
2021,1,United States Grand Prix,United States Grand Prix,63,63,33,Williams,10,14,-4,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,77,77,33,Mercedes,16,15,1,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,44,44,30,Mercedes,3,2,1,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,33,33,33,Red Bull Racing,3,1,2,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,11,11,28,Red Bull Racing,5,3,2,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,10,10,26,AlphaTauri,1,4,-3,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,55,55,30,Ferrari,7,6,1,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,3,3,36,McLaren,12,12,0,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,16,16,34,Ferrari,6,5,1,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,5,5,34,Aston Martin,6,7,-1,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,7,7,25,Alfa Romeo Racing,4,8,-4,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,99,99,35,Alfa Romeo Racing,7,11,-4,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,14,14,32,Alpine,7,9,-2,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,6,6,33,Williams,13,17,-4,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,47,47,33,Haas F1 Team,16,19,-3,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,9,9,35,Haas F1 Team,15,18,-3,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,63,63,24,Williams,12,16,-4,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,22,22,36,AlphaTauri,17,20,-3,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,4,4,29,McLaren,10,10,0,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,31,31,30,Alpine,11,13,-2,100.0
2021,1,Mexico City Grand Prix,Hermanos Rodriguez,18,18,36,Aston Martin,13,14,-1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,77,77,31,Mercedes,4,3,1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,33,33,33,Red Bull Racing,4,2,2,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,55,55,32,Ferrari,7,6,1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,11,11,25,Red Bull Racing,6,4,2,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,4,4,34,McLaren,10,10,0,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,16,16,33,Ferrari,6,5,1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,10,10,25,AlphaTauri,4,7,-3,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,31,31,28,Alpine,6,8,-2,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,5,5,36,Aston Martin,10,11,-1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,44,44,28,Mercedes,2,1,1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,3,3,29,McLaren,19,19,0,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,14,14,26,Alpine,7,9,-2,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,99,99,31,Alfa Romeo Racing,10,14,-4,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,18,18,36,Aston Martin,19,20,-1,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,22,22,24,AlphaTauri,12,15,-3,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,6,6,29,Williams,12,16,-4,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,63,63,27,Williams,9,13,-4,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,47,47,24,Haas F1 Team,15,18,-3,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,9,9,30,Haas F1 Team,14,17,-3,100.0
2021,1,São Paulo Grand Prix,São Paulo Grand Prix,7,7,32,Alfa Romeo Racing,8,12,-4,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,44,44,36,Mercedes,2,1,1,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,10,10,27,AlphaTauri,8,11,-3,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,14,14,27,Alpine,1,3,-2,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,4,4,29,McLaren,9,9,0,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,77,77,35,Mercedes,21,20,1,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,55,55,26,Ferrari,8,7,1,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,33,33,36,Red Bull Racing,4,2,2,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,22,22,35,AlphaTauri,10,13,-3,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,31,31,29,Alpine,3,5,-2,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,5,5,30,Aston Martin,9,10,-1,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,11,11,34,Red Bull Racing,6,4,2,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,18,18,33,Aston Martin,5,6,-1,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,16,16,33,Ferrari,9,8,1,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,3,3,26,McLaren,12,12,0,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,63,63,30,Williams,13,17,-4,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,7,7,26,Alfa Romeo Racing,10,14,-4,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,6,6,36,Williams,15,19,-4,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,99,99,36,Alfa Romeo Racing,11,15,-4,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,47,47,25,Haas F1 Team,13,16,-3,100.0
2021,1,Qatar Grand Prix,Qatar Grand Prix,9,9,35,Haas F1 Team,15,18,-3,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,44,44,33,Mercedes,2,1,1,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,77,77,27,Mercedes,4,3,1,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,33,33,35,Red Bull Racing,4,2,2,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,16,16,31,Ferrari,8,7,1,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,11,11,36,Red Bull Racing,19,17,2,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,10,10,32,AlphaTauri,3,6,-3,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,4,4,30,McLaren,10,10,0,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,22,22,24,AlphaTauri,11,14,-3,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,31,31,26,Alpine,2,4,-2,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,99,99,36,Alfa Romeo Racing,5,9,-4,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,3,3,35,McLaren,5,5,0,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,7,7,32,Alfa Romeo Racing,11,15,-4,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,14,14,35,Alpine,11,13,-2,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,63,63,24,Williams,15,19,-4,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,55,55,32,Ferrari,9,8,1,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,6,6,31,Williams,8,12,-4,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,5,5,24,Aston Martin,15,16,-1,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,18,18,29,Aston Martin,10,11,-1,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,47,47,28,Haas F1 Team,17,20,-3,100.0
2021,1,Saudi Arabian Grand Prix,Jeddah,9,9,29,Haas F1 Team,15,18,-3,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,33,33,33,Red Bull Racing,3,1,2,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,44,44,35,Mercedes,3,2,1,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,4,4,36,McLaren,7,7,0,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,11,11,36,Red Bull Racing,17,15,2,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,55,55,36,Ferrari,4,3,1,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,77,77,28,Mercedes,7,6,1,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,16,16,29,Ferrari,11,10,1,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,22,22,28,AlphaTauri,1,4,-3,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,31,31,34,Alpine,7,9,-2,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,3,3,35,McLaren,12,12,0,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,14,14,28,Alpine,6,8,-2,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,10,10,27,AlphaTauri,2,5,-3,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,18,18,26,Aston Martin,12,13,-1,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,99,99,26,Alfa Romeo Racing,13,17,-4,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,5,5,27,Aston Martin,10,11,-1,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,6,6,32,Williams,12,16,-4,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,63,63,25,Williams,14,18,-4,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,7,7,32,Alfa Romeo Racing,15,19,-4,100.0
2021,1,Abu Dhabi Grand Prix,Yas Island,47,47,24,Haas F1 Team,11,14,-3,100.0
2022,1,Bahrain Grand Prix,Sakhir,16,16,24,Ferrari,2,1,1,100.0
2022,1,Bahrain Grand Prix,Sakhir,1,1,28,Red Bull Racing,21,19,2,100.0
2022,1,Bahrain Grand Prix,Sakhir,55,55,29,Ferrari,3,2,1,100.0
2022,1,Bahrain Grand Prix,Sakhir,11,11,29,Red Bull Racing,20,18,2,100.0
2022,1,Bahrain Grand Prix,Sakhir,44,44,26,Mercedes,4,3,1,100.0
2022,1,Bahrain Grand Prix,Sakhir,77,77,30,Alfa Romeo,2,6,-4,100.0
2022,1,Bahrain Grand Prix,Sakhir,20,20,32,Haas F1 Team,2,5,-3,100.0
2022,1,Bahrain Grand Prix,Sakhir,14,14,34,Alpine,7,9,-2,100.0
2022,1,Bahrain Grand Prix,Sakhir,63,63,35,Mercedes,5,4,1,100.0
2022,1,Bahrain Grand Prix,Sakhir,10,10,33,AlphaTauri,17,20,-3,100.0
2022,1,Bahrain Grand Prix,Sakhir,31,31,31,Alpine,5,7,-2,100.0
2022,1,Bahrain Grand Prix,Sakhir,47,47,29,Haas F1 Team,8,11,-3,100.0
2022,1,Bahrain Grand Prix,Sakhir,4,4,35,McLaren,15,15,0,100.0
2022,1,Bahrain Grand Prix,Sakhir,23,23,31,Williams,9,13,-4,100.0
2022,1,Bahrain Grand Prix,Sakhir,24,24,35,Alfa Romeo,6,10,-4,100.0
2022,1,Bahrain Grand Prix,Sakhir,22,22,28,AlphaTauri,5,8,-3,100.0
2022,1,Bahrain Grand Prix,Sakhir,27,27,31,Aston Martin,16,17,-1,100.0
2022,1,Bahrain Grand Prix,Sakhir,3,3,33,McLaren,14,14,0,100.0
2022,1,Bahrain Grand Prix,Sakhir,18,18,35,Aston Martin,11,12,-1,100.0
2022,1,Bahrain Grand Prix,Sakhir,6,6,27,Williams,12,16,-4,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,11,11,33,Red Bull Racing,6,4,2,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,16,16,31,Ferrari,3,2,1,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,55,55,33,Ferrari,4,3,1,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,1,1,35,Red Bull Racing,3,1,2,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,31,31,25,Alpine,4,6,-2,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,63,63,35,Mercedes,6,5,1,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,14,14,35,Alpine,14,16,-2,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,77,77,28,Alfa Romeo,11,15,-4,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,10,10,32,AlphaTauri,5,8,-3,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,20,20,27,Haas F1 Team,6,9,-3,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,4,4,34,McLaren,7,7,0,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,24,24,29,Alfa Romeo,7,11,-4,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,18,18,24,Aston Martin,12,13,-1,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,3,3,32,McLaren,17,17,0,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,44,44,24,Mercedes,11,10,1,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,23,23,28,Williams,10,14,-4,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,27,27,27,Aston Martin,11,12,-1,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,6,6,36,Williams,14,18,-4,100.0
2022,1,Saudi Arabian Grand Prix,Jeddah,22,22,35,AlphaTauri,16,19,-3,100.0
2022,1,Australian Grand Prix,Melbourne,16,16,36,Ferrari,2,1,1,100.0
2022,1,Australian Grand Prix,Melbourne,1,1,36,Red Bull Racing,20,18,2,100.0
2022,1,Australian Grand Prix,Melbourne,11,11,26,Red Bull Racing,4,2,2,100.0
2022,1,Australian Grand Prix,Melbourne,4,4,36,McLaren,5,5,0,100.0
2022,1,Australian Grand Prix,Melbourne,44,44,29,Mercedes,5,4,1,100.0
2022,1,Australian Grand Prix,Melbourne,63,63,25,Mercedes,4,3,1,100.0
2022,1,Australian Grand Prix,Melbourne,3,3,26,McLaren,6,6,0,100.0
2022,1,Australian Grand Prix,Melbourne,31,31,28,Alpine,5,7,-2,100.0
2022,1,Australian Grand Prix,Melbourne,55,55,32,Ferrari,21,20,1,100.0
2022,1,Australian Grand Prix,Melbourne,14,14,25,Alpine,15,17,-2,100.0
2022,1,Australian Grand Prix,Melbourne,10,10,33,AlphaTauri,6,9,-3,100.0
2022,1,Australian Grand Prix,Melbourne,77,77,31,Alfa Romeo,4,8,-4,100.0
2022,1,Australian Grand Prix,Melbourne,22,22,25,AlphaTauri,12,15,-3,100.0
2022,1,Australian Grand Prix,Melbourne,24,24,34,Alfa Romeo,7,11,-4,100.0
2022,1,Australian Grand Prix,Melbourne,47,47,36,Haas F1 Team,10,13,-3,100.0
2022,1,Australian Grand Prix,Melbourne,20,20,28,Haas F1 Team,11,14,-3,100.0
2022,1,Australian Grand Prix,Melbourne,5,5,30,Aston Martin,18,19,-1,100.0
2022,1,Australian Grand Prix,Melbourne,6,6,31,Williams,12,16,-4,100.0
2022,1,Australian Grand Prix,Melbourne,18,18,24,Aston Martin,11,12,-1,100.0
2022,1,Australian Grand Prix,Melbourne,23,23,29,Williams,6,10,-4,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,1,1,24,Red Bull Racing,3,1,2,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,16,16,25,Ferrari,7,6,1,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,11,11,24,Red Bull Racing,4,2,2,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,55,55,34,Ferrari,21,20,1,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,4,4,28,McLaren,3,3,0,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,3,3,33,McLaren,18,18,0,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,77,77,32,Alfa Romeo,1,5,-4,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,20,20,29,Haas F1 Team,6,9,-3,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,14,14,34,Alpine,17,19,-2,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,47,47,34,Haas F1 Team,14,17,-3,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,63,63,24,Mercedes,5,4,1,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,22,22,36,AlphaTauri,4,7,-3,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,5,5,24,Aston Martin,7,8,-1,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,44,44,25,Mercedes,14,13,1,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,18,18,32,Aston Martin,9,10,-1,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,31,31,26,Alpine,12,14,-2,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,10,10,24,AlphaTauri,9,12,-3,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,23,23,28,Williams,7,11,-4,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,6,6,30,Williams,12,16,-4,100.0
2022,1,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,24,24,29,Alfa Romeo,11,15,-4,100.0
2022,1,Miami Grand Prix,Miami,16,16,35,Ferrari,3,2,1,100.0
2022,1,Miami Grand Prix,Miami,55,55,24,Ferrari,4,3,1,100.0
2022,1,Miami Grand Prix,Miami,1,1,28,Red Bull Racing,3,1,2,100.0
2022,1,Miami Grand Prix,Miami,11,11,28,Red Bull Racing,6,4,2,100.0
2022,1,Miami Grand Prix,Miami,77,77,29,Alfa Romeo,3,7,-4,100.0
2022,1,Miami Grand Prix,Miami,44,44,26,Mercedes,7,6,1,100.0
2022,1,Miami Grand Prix,Miami,10,10,28,AlphaTauri,15,18,-3,100.0
2022,1,Miami Grand Prix,Miami,4,4,30,McLaren,19,19,0,100.0
2022,1,Miami Grand Prix,Miami,22,22,28,AlphaTauri,10,13,-3,100.0
2022,1,Miami Grand Prix,Miami,18,18,28,Aston Martin,11,12,-1,100.0
2022,1,Miami Grand Prix,Miami,14,14,28,Alpine,7,9,-2,100.0
2022,1,Miami Grand Prix,Miami,63,63,33,Mercedes,6,5,1,100.0
2022,1,Miami Grand Prix,Miami,5,5,33,Aston Martin,16,17,-1,100.0
2022,1,Miami Grand Prix,Miami,3,3,26,McLaren,11,11,0,100.0
2022,1,Miami Grand Prix,Miami,47,47,24,Haas F1 Team,12,15,-3,100.0
